"term_id","name","count","description"
1440,"ANTHRACITE - BLACK",0,
1391,"ANTHRACITE - SONOMA",0,
1356,"ANTIQUE COPPER",0,
1254,"BACK",1,
1345,"BEIGE - GOLDEN",0,
1393,"BEIGE BROWN - GOLDEN",0,
1236,"BLACK - CHROME",1,
1410,"BLACK - DARK GRAY",0,
1351,"BLACK - GOLDEN",0,
1447,"BLACK - GOLDEN - NATURAL",0,
1389,"BLACK - GRAY",0,
1341,"BLACK - INOX",2,
1358,"BLACK - MULTICOLOR",0,
1338,"BLACK - NATURAL",1,
1282,"BLACK - NATURAL - TRANSPARENT",1,
1280,"BLACK - TRANSPARENT",1,
1334,"BLACK - WALNUT",2,
1368,"BLACK - WHITE GREY",0,
1369,"BRONZE - BROWN",0,
1403,"BRONZE ANTIQUE - BLACK",0,
1372,"BROWN",0,
1383,"BROWN - BEIGE - NATURAL",0,
1377,"BROWN - DARK BROWN",0,
1324,"BROWN - TABAC ANTIQUE",1,
1326,"BROWN - TABAC ANTIQUE BLACK",1,
1378,"BROWN - WHITE",0,
1495,"CEMENT - ΦΥΣΙΚΟ",0,
1414,"CIEL - BLACK",0,
1415,"CIEL - CREAM",0,
1423,"CIEL - CREAM - BLACK",0,
1434,"CIEL - CREAM - NATURAL",0,
1421,"CIEL - ELEPHANT - BLACK",0,
1432,"CREAM - MOCHA",0,
1426,"CREAM - MOCHA - BLACK",0,
1429,"CREAM - MOCHA - NATURAL",0,
1408,"DARK GRAY - GREY",0,
1437,"DARK GREEN - DARK GREY",0,
1419,"DARK GREEN - DARK GREY - BLACK",0,
1431,"DARK GREEN - DARK GREY - NATURAL",0,
1343,"DARK GREEN - GOLDEN",0,
1418,"DARK GREEN ANTHRACITE- BLACK",0,
1425,"DARK GREY - DARK GREEN - BLACK",0,
1417,"DARK GREY - NATURAL",0,
1241,"DARK GREY - PIPE",1,
1436,"DARK GREY -DARK GREEN",0,
1359,"DARK GREY ANTIQUE",0,
1332,"DARK GREY FABRIC K12-21",2,
1322,"DARK GREY- OAK",1,
1276,"DARK OAK - BLACK",1,
1277,"DARK RED - GOLDEN",1,
1438,"ELEPHANT - CIEL",0,
1427,"ELEPHANT - CIEL - BLACK",0,
1428,"ELEPHANT - CIEL - NATURAL",0,
1286,"GOLDEN",1,
1366,"GOLDEN - DARK RED",0,
1444,"GOLDEN - OAK",0,
1296,"GOLDEN - WHITE",1,
1379,"GRAY",0,
1398,"GREY - BEIGE",0,
1232,"GREY - CHROME",2,
1346,"GREY - GOLDEN",0,
1364,"GREY - SILVER",0,
1500,"Hurricane",0,
1331,"IVORY",3,
1342,"IVORY- INOX",2,
1312,"LIGHT BROWN - WALNUT",1,
1329,"LIGHT GREY K12-3",1,
1092,"LIGHT OAK",1,
1255,"LIGHT OAK - DARK BROWN",0,
1269,"LIGHT WALNUT - BROWN",1,
1317,"MAPLE - WHITE",2,
1227,"MARBLE PATTERN - GOLDEN",3,
1234,"MOCHA - CHROME",1,
1433,"MOCHA - CREAM",0,
1424,"MOCHA - CREAM - BLACK",0,
1435,"MOCHA - CREAM - NATURAL",0,
1284,"NATURAL - DARK GREY",1,
1262,"NATURAL - ECRU",1,
1396,"NATURAL - SILVER",0,
1303,"OAK - BLACK",1,
1486,"OAK - ΜΑΥΡΟ",0,
1098,"OAK,ANTHRACITE",10,
1278,"PINK - BLACK",1,
1352,"PINK - GOLDEN",0,
1090,"RACK WENGE",3,
1411,"ROTTEN APPLE - BLACK",0,
1305,"ROTTEN APPLE - CHROME",1,
1344,"ROTTEN APPLE - GOLDEN",0,
1314,"ROTTEN APPLE VELVET",1,
1089,"SONOMA",25,
1271,"SONOMA - BROWN",1,
1390,"SONOMA - NATURAL",0,
1466,"SONOMA - ΛΕΥΚΟ",0,
1460,"SONOMA DECAPE - ΜΑΥΡΟ",0,
1353,"TILE - GOLDEN",0,
1488,"VIOLET ΣΚΟΥΡΟ - ΜΑΥΡΟ",0,
1458,"WATER GREEN - ΜΑΥΡΟ",0,
1096,"WHITE",8,
1400,"WHITE - BLACK",0,
1455,"WHITE - BROWM",0,
1451,"WHITE - BROWN",0,
1235,"WHITE - CHROME",1,
1308,"WHITE - GOLDEN",2,
1264,"WHITE - NATURAL",6,
1320,"WHITE - WALNUT",1,
1349,"WHITE GLOSS",0,
1253,"WHITE MARBLE - GOLDEN",1,
1101,"WHITE MATTE",3,
1362,"WHITE-INOX",0,
1413,"WHITE-WALNUT-NATURAL",0,
1274,"YELLOW WOOD GRAIN - ΟΑΚ",1,
1497,"Ασημί",0,
1476,"ΑΣΗΜΙ ΜΑΤ",0,
1492,"ΓΚΡΙ 07-780",0,
1468,"ΓΚΡΙ ΣΚΟΥΡΟ - ΚΑΡΥΔΙ",0,
1472,"ΚΑΦΕ",0,
1490,"ΛΕΥΚΟ - ΦΥΣΙΚΟ",0,
1470,"ΛΕΥΚΟ ANTIQUE",0,
1471,"ΜΑΥΡΟ",0,
1480,"ΜΑΥΡΟ - ALCOHOL - ΜΑΥΡΟ",0,
1481,"ΜΑΥΡΟ - ΓΚΡΙ - ΜΑΥΡΟ",0,
1464,"ΜΑΥΡΟ - ΛΕΥΚΟ",0,
1487,"ΜΑΥΡΟ - ΜΑΥΡΟ",0,
1482,"ΜΑΥΡΟ - ΦΥΣΙΚΟ",0,
1501,"Μαύρο / Λευκό",0,
1478,"ΦΥΣΙΚΟ - ΜΑΥΡΟ",0,
1462,"ΦΥΣΙΚΟ ΜΕ RATTAN",0,
1484,"ΧΡΥΣΟ - ΜΑΥΡΟ",0,
1474,"ΧΡΥΣΟ ANTIQUE",0,
1159,"ANTHRACITE",0,
1119,"ANTHRACITE - MOCHA - ANTIQUE WHITE",0,
1122,"BEIGE",4,
1219,"BEIGE - BLACK",1,
1196,"BEIGE - BROWN",1,
1135,"BLACK",14,
1174,"BLACK - GREY",1,
1206,"BLACK - OAK",1,
1102,"BLACK MATTE",3,
1109,"BLUE",3,
1166,"CASTILLO-BLUE",5,
1165,"CASTILLO-PINK",5,
1127,"CASTILLO-TORO",12,
1113,"CHARCOAL",1,
1192,"DARK GREEN - BLACK",1,
1137,"DARK GREY",9,
1221,"DARK GREY - BLACK",1,
1214,"DARK WALNUT",3,
1209,"DARK WALNUT - BEIGE",6,
1141,"ECRU",1,
1108,"GREEN",1,
1217,"GREEN GREEN - BLACK",1,
1111,"GREY",7,
1216,"GREY - BLACK",2,
1223,"GREY CEMENT - BLACK",1,
1106,"LIGHT BLUE",2,
1197,"LIGHT OAK WHITE",1,
1195,"MODERN OAK - BLACK",6,
1146,"MULTICOLOR",5,
1179,"NATURAL",4,
1118,"NATURAL - ANTHRACITE",0,
1117,"OAK",1,
1199,"OAK - DARK GREY",3,
1107,"ORANGE",1,
1124,"PINK",2,
1123,"PURPLE",1,
1105,"RED",3,
1163,"ROTTEN APPLE",2,
1212,"RUSTIC GREY",3,
1208,"RUSTIC GREY - GREY",7,
1151,"SILVER GREY",2,
1176,"SONOMA - WHITE GLOSS",1,
1182,"TRANSPARENT",3,
1155,"WALNUT",17,
1161,"WALNUT - BLACK",9,
1139,"WENGE",13,
1126,"WHITE - GREY",15,
1154,"WHITE ANTIQUE",1,
1148,"WHITE OAK",3,
1115,"WHITE,ANTHRACITE",0,
1114,"YELLOW",2,
1193,"YELLOW - BLACK",1,
1116,"ΑΝΘΡΑΚΙ",0,
1120,"ΛΕΥΚΟ",0,
1201,"ΟΑΚ - DARK GREY",1,
1121,"ΦΥΣΙΚΟ",0,
