"term_id","name","count","description"
1318,"12mm MDF with Melamine + 15*15mm iron tube frame",0,
1307,"15 MM MDF &amp; WHITE PAINTING - METAL",0,
1309,"15MM MDF &amp; WHITE PAINTING - METAL",0,
1316,"15mm MDF with Melamine + iron tube frame",0,
1313,"20mm Finger Jointed Rubberwood Top. 55mm Apron. Pedestal Leg - 20mm flat wooden seat",0,
1229,"3 ZONE POCKET SPRING + GEL MEMORY FOAM",0,
1228,"5 ZONE POCKET SPRING - MEMORY FOAM - LATEX",0,
1406,"ALUMINIUM - PLYWOOD",0,
1409,"ALUMINUM - TEXTILENE",0,
1386,"BAMBOO",0,
1265,"BAMBOO - MDF",0,
1266,"BAMBOO - WOODEN",0,
1294,"BAMBOU",0,
1257,"CANVAS",0,
1088,"CLIPBOARD 16mm &amp; 18mm WITH 3D PAPER WOOD - MDF",2,
1094,"CLIPBOARD 16mm &amp; 18mm WITH PAPER WOOD",5,
1091,"CLIPBOARD 16mm &amp; 18mm with PAPER WOOD - MDF",2,
1097,"CLIPBOARD 18mm WITH MELAMINE",0,
1252,"CLIPBOARD 18MM WITH MELAMINE - METAL",0,
1405,"CLIPBOARD WITH 3D PAPER WOOD 15-12MM - METAL-PP RATTAN",0,
1310,"CLIPBOARD WITH MELAMINE - METAL",0,
1348,"CLIPBOARD WITH MELAMINE 16mm.",0,
1412,"CLIPBOARD WITH MELAMINE 18mm. - WOODEN LEGS",0,
1333,"CLIPBOARD WITH MELAMINE 30mm.",0,
1335,"CLIPBOARD WITH MELAMINE 40mm.",0,
1245,"CLIPBOARD WITH PAPER WOOD - PP RATTAN",0,
1248,"CLIPBOARD WITH PAPER WOOD - PP RATTAN - WOOD",0,
1237,"FABRIC - METAL",0,
1328,"FABRIC 100% POLYESTER - PLYWOOD - FRAME PINEWOOD",0,
1304,"FABRIC VELVET - METAL",0,
1298,"FABRIC- BAMBOU",0,
1281,"GLASS - METAL",0,
1279,"GLASS - METAL (50x50. thickness: 1.2mm)",0,
1283,"GLASS - METAL (Dia 38. thickness: 1.2mm)",0,
1226,"GLASS 8mm MARBLE PATTER - METAL",0,
1367,"MDF - METAL-SINTERED STONE",0,
1485,"MDF - ΜΕΤΑΛΛΟ",0,
1093,"MDF &amp; CLIPBOARD 16mm &amp; 18mm WITH PAPER MELAMINE WOOD",5,
1233,"MDF &amp; CLIPBOARD 16mm WITH PAPER MELAMINE WOOD - PU",0,
1273,"MDF 15mm WITH MELAMINE - METAL TUBE15x30mm",0,
1285,"MDF 35MM - METAL",0,
1395,"MDF E1/STEEL/BAMBOO",0,
1491,"MDF VENEER",0,
1275,"MDF WITH MELAMINE - METAL TUBE",0,
1099,"MELAMINE 18mm - rope",0,
1095,"MELAMINE 18mm.",0,
1448,"MELAMINE 18mm. METAL",0,
1365,"META LEGS DIA 16x1.4MM - VELVET",0,
1357,"METAL - CERAMIC",0,
1240,"METAL - CLIPBOARD 18mm WITH MELAMINE",0,
1382,"METAL - FABRIC - PE RATTAN",0,
1384,"METAL - FABRIC - PP",0,
1392,"METAL - GLASS - PVC",0,
1336,"METAL - MDF",0,
1347,"METAL - PINE WOOD",0,
1407,"METAL - PLYWOOD",0,
1375,"METAL 24x0.8MM",0,
1456,"METAL 24x0.8MM - GLASS",0,
1452,"METAL 24x0.8MM - GLASS - PE RATTAN",0,
1454,"METAL 24x0.8MM - GLASS - TEXTILENE",0,
1380,"METAL D: 24MM - GLASS",0,
1295,"METAL WIRE - PVC CUSHION",0,
1388,"METAL- PE RATTAN",0,
1387,"METAL-GLASS- PE RATTAN",0,
1373,"METAL-WATER WAVE TEMPERED GLASS",0,
1259,"METAL-WOOD",0,
1325,"METAL. PU. PP. FABCRIC",0,
1445,"PAPER - METAL - BEECHWOOD",0,
1371,"PE RATTAN - METAL 24x0.8MM",0,
1449,"PE RATTAN - METAL 24x0.8MM - GLASS",0,
1477,"PE RATTAN - ΜΕΤΑΛΛΟ",0,
1355,"PINE WOOD",0,
1261,"PINE WOOD -METAL- FABRIC",0,
1385,"PLYWOOD - PU - FOAM",0,
1230,"POCKET SPRING + FOAM",0,
1231,"POCKET SPRING MATTRESS - FOAM",0,
1473,"POLYRESIN",0,
1290,"PP",0,
1288,"PP - BAMBOO",0,
1446,"PP - METAL",0,
1360,"PP. PU. METAL",0,
1292,"PS - BAMBOU",0,
1340,"PU - INOX",0,
1330,"PU - PLYWOOD - FRAME PINEWOOD",0,
1100,"PU - PLYWOOD - HARDWOOD",5,
1311,"PU - SOLID WOOD BEECH",0,
1361,"PU. METAL.",0,
1363,"PU. METAL. WOOD",0,
1337,"PU. PP. Beech solid wood leg",0,
1402,"PVC - ABS",0,
1399,"PVC - FABRIC",0,
1244,"RUBBER WOOD VENNER - FABRIC",0,
1450,"TEXTILENE - METAL 24x0.8MM - GLASS",0,
1376,"TEXTILENE - METAL 42x14MM",0,
1300,"VELVET",0,
1350,"VELVET - METAL LEGS",0,
1442,"WOOD",0,
1263,"WOOD - MDF",0,
1302,"WOOD - METAL",0,
1268,"WOOD - RATTAN",0,
1439,"WOOD - VELVET",0,
1496,"Ανθεκτικό ατσάλι με εμαγιέ επίστρωση",0,
1498,"Ανοξείδωτο ατσάλι",0,
1499,"Ανοξείδωτο ατσάλι / Πλαστικό",0,
1463,"ΚΑΜΒΑΣ - MDF",0,
1475,"ΜΕΤΑΛΛΟ",0,
1461,"ΜΟΡΙΟΣΑΝΙΔΑ ΜΕ ΕΠΕΝΔΥΣΗ ΜΕΛΑΜΙΝΗΣ CARTA",0,
1459,"ΜΟΡΙΟΣΑΝΙΔΑ ΜΕ ΕΠΕΝΔΥΣΗ ΜΕΛΑΜΙΝΗΣ CARTA - ΜΕΤΑΛΛΟ",0,
1465,"ΜΟΡΙΟΣΑΝΙΔΑ ΜΕ ΕΠΕΝΔΥΣΗ ΜΕΛΑΜΙΝΗΣ CARTA - ΞΥΛΟ RUBBERWOOD",0,
1489,"ΞΥΛΟ MANGO",0,
1493,"ΞΥΛΟ ΑΚΑΚΙΑΣ - ΜΕΤΑΛΛΟ",0,
1469,"ΞΥΛΟ ΠΑΥΛΩΝΙΑ",0,
1494,"ΤΣΙΜΕΝΤΟ FIBER - ΞΥΛΟ ΑΚΑΚΙΑΣ",0,
1479,"ΥΦΑΣΜΑ",0,
