term_id,name,slug,count,description
2502,abstract,abstract,13,
1194,ANTHRACAITE,anthracaite,0,
1387,AQUA,aqua,0,
1436,"AQUA - ΜΠΕΖ",aqua-%ce%bc%cf%80%ce%b5%ce%b6,0,
1392,"AQUA - ΜΩΒ",aqua-%ce%bc%cf%89%ce%b2,0,
1393,"AQUA - ΤΙΡΚΟΥΑΖ",aqua-%cf%84%ce%b9%cf%81%ce%ba%ce%bf%cf%85%ce%b1%ce%b6,0,
1360,BRASS,brass,0,
1260,"BRASS ANTIQUE",brass-antique,0,
1190,CARAMEL,caramel,0,
1434,"CARAMEL - DIJON",caramel-dijon,0,
1287,"CARAMEL - ΜΠΕΖ",caramel-%ce%bc%cf%80%ce%b5%ce%b6,0,
1230,"COGNAC - PURO",cognac-puro,1,
2258,"Dark honey",dark-honey,2,
1421,DIJON,dijon,0,
1562,"Ferndale Concrete",ferndale-concrete,3,
1497,GREZ,grez,3,
1493,"GREZ ANTHOLOGY 02",grez-anthology-02,4,
1261,"GRIZZLY 07-969",grizzly-07-969,1,
1251,LATTE,latte,0,
1358,MUD,mud,6,
1258,"MUSHROOM 05-450",mushroom-05-450,0,
1227,"MUSHROOM 05-780",mushroom-05-780,0,
1374,"MUSHROOM 26-857",mushroom-26-857,0,
1254,NICKEL,nickel,0,
1232,NUDE,nude,0,
1557,"Old beech",old-beech,0,
1268,"PUMPKIN - ΧΡΩΜΙΟ",pumpkin-%cf%87%cf%81%cf%89%ce%bc%ce%b9%ce%bf,1,
1249,"PURO ASTI 3",puro-asti-3,1,
1495,"PURO WIND 21",puro-wind-21,3,
1355,ROTTENRUST,rottenrust,0,
1429,SAND,sand,0,
1547,Sonama,sonama,29,
1419,TITAN,titan,0,
1546,Zebrano,zebrano,4,
1550,Άβαφο,%ce%ac%ce%b2%ce%b1%cf%86%ce%bf,7,
1420,ΑΣΠΡΟ,%ce%b1%cf%83%cf%80%cf%81%ce%bf,0,
2314,Βεραμάν,%ce%b2%ce%b5%cf%81%ce%b1%ce%bc%ce%ac%ce%bd,3,
2570,Βυσσινί,%ce%b2%cf%85%cf%83%cf%83%ce%b9%ce%bd%ce%af,6,
1372,ΓΑΛΑΖΙΟ,%ce%b3%ce%b1%ce%bb%ce%b1%ce%b6%ce%b9%ce%bf,2,
2413,"Γήινα χρώματα",%ce%b3%ce%ae%ce%b9%ce%bd%ce%b1-%cf%87%cf%81%cf%8e%ce%bc%ce%b1%cf%84%ce%b1,4,
1276,ΓΡΑΦΙΤΗΣ,%ce%b3%cf%81%ce%b1%cf%86%ce%b9%cf%84%ce%b7%cf%82,0,
