term_id,name,slug,count,description
1076,"100% COTTON - EUCALYPTUS WOOD",100-cotton-eucalyptus-wood,0,
1022,"100% JUTE",100-jute,0,
1074,"100% JUTE - WOOD",100-jute-wood,0,
982,"100% MICROFIBER",100-microfiber,0,
988,"100% ORGANIC COTTON",100-organic-cotton,0,
1150,"12mm + 15mm Particle Board",12mm-15mm-particle-board,0,
1139,"12mm Particle Board",12mm-particle-board,0,
1044,"12mm sintered stone table top. Sand grain black powder coating legs",12mm-sintered-stone-table-top-sand-grain-black-powder-coating-legs,0,
1137,"15MM MELANMINE BOARD",15mm-melanmine-board,0,
1037,"15mm PARTICLE BOARD",15mm-particle-board,0,
1017,"18 MM PARTICLE BOARD SHELVES - 40x20 MM SKELETON - DECORATIVE WIRE BACKBOARD",18-mm-particle-board-shelves-40x20-mm-skeleton-decorative-wire-backboard,0,
1141,"20 % COTTON 80 % WOOL",20-cotton-80-wool,0,
1034,"25mm Table Top MFC Material",25mm-table-top-mfc-material,0,
1027,"50% COTTON - 50% JUTE",50-cotton-50-jute,0,
1078,"50% JUTE - 50% COTTON",50-jute-50-cotton,0,
1073,"70% COTTON - 30% JUTE",70-cotton-30-jute,0,
1142,"80 % JUTE 20 % COTTON",80-jute-20-cotton,0,
1061,ABACA,abaca,0,
1063,"ABACA - SISAL",abaca-sisal,0,
1007,"ABS PLASTIC",abs-plastic,0,
986,"ABS PLASTIC - JUTE",abs-plastic-jute,0,
1028,ACACIA,acacia,0,
1019,"ACACIA WOOD",acacia-wood,0,
1094,"ALANG - ALANG",alang-alang,0,
1046,"Alu frame",alu-frame,0,
1001,"Alum tube",alum-tube,0,
1091,"ARUM WOOD",arum-wood,0,
1089,"Banana Mix - Seagrass",banana-mix-seagrass,0,
1088,"Banana mix - Synth seagrass",banana-mix-synth-seagrass,0,
1051,"BANANA ROOT",banana-root,0,
1085,"BANANA WOOD",banana-wood,0,
1003,Cane,cane,0,
1235,CEMENT,cement,8,
1048,CERAMIC,ceramic,0,
1406,CHENILLE,chenille,4,
1014,CLIPBORD,clipbord,0,
2302,Concrete,concrete,2,
1008,"CONCRETE - WOOD",concrete-wood,0,
980,"CONTRA PLAQUE",contra-plaque,0,
1117,COTTON,cotton,0,
1123,COTTON-JUTE,cotton-jute,0,
1112,DOLOMITE,dolomite,0,
1129,"DRIFT WOOD",drift-wood,0,
1528,Driftwood,driftwood,11,
1039,"E1 PARTICLEBOARD",e1-particleboard,0,
1038,"E1 PARTICLEBOARDE",e1-particleboarde,0,
2572,"Fiber Cement",fiber-cement,1,
2565,"Fiber Clay",fiber-clay,10,
1475,"FIBERCLAY - ΛΙΝΟ",fiberclay-%ce%bb%ce%b9%ce%bd%ce%bf,2,
1068,"FIR WOOD",fir-wood,0,
993,"FSC ACACIA",fsc-acacia,0,
1043,GRASS,grass,0,
1062,"GRASS - ABACA",grass-abaca,0,
1087,HEMP,hemp,0,
1500,HONEYCOMB,honeycomb,2,
994,HPL,hpl,5,
1092,Hyachint,hyachint,0,
1114,HYACINTH,hyacinth,0,
983,JUTE,jute,0,
1097,"JUTE - SICAL",jute-sical,0,
1124,"JUTE -COTTON",jute-cotton,0,
1025,"JUTE 100%",jute-100,0,
1026,"JUTE 90%-COTTON 10%",jute-90-cotton-10,0,
1084,"LILIANA WOOD",liliana-wood,0,
1234,LIMESTONE,limestone,3,
1143,"LINEN - CERAMIC",linen-ceramic,0,
1082,MAHOGANY,mahogany,0,
1096,"MAHOGANY WOOD",mahogany-wood,0,
929,MDF,mdf,388,
1049,MELAMINR,melaminr,0,
1090,MENDONG,mendong,0,
1100,"MERANTI WOOD",meranti-wood,0,
1151,MFC,mfc,0,
1191,MGO,mgo,170,
1081,"MINDI WOOD",mindi-wood,0,
1156,MULTICOLOR,multicolor,0,
1111,"NEW BONE CHINA",new-bone-china,0,
1518,Nubuck,nubuck,4,
2496,Nylon,nylon,6,
2509,"OLEFIN ύφασμα",olefin-%cf%8d%cf%86%ce%b1%cf%83%ce%bc%ce%b1,10,
1093,"PALM LEAF",palm-leaf,0,
1064,PANDANUS,pandanus,0,
985,PAPER,paper,0,
1004,"PARTICLE BOARD",particle-board,0,
1005,"PARTICLE BOARD 18MM",particle-board-18mm,0,
1029,"PARTICLE BOARD WITH PAPER FINISH",particle-board-with-paper-finish,0,
1126,PARTICLEBOARD,particleboard,0,
1102,"Particleboard With Paper Finishing",particleboard-with-paper-finishing,0,
1136,PB,pb,0,
1000,PC,pc,0,
1439,PE,pe,11,
1389,"PE/PP - PEVA",pe-pp-peva,3,
1376,PEVA,peva,14,
1378,"PEVA - ΚΕΡΑΜΙΚΟ",peva-%ce%ba%ce%b5%cf%81%ce%b1%ce%bc%ce%b9%ce%ba%ce%bf,2,
991,PINE,pine,0,
1018,PL,pl,0,
1006,PLASTIC,plastic,0,
992,"POLYETHYLENE - CIMENT - CERAMIC",polyethylene-ciment-ceramic,0,
979,"POLYETHYLENE- CEMENT",polyethylene-cement,0,
1002,POLYRESIN,polyresin,0,
1516,Polywood,polywood,0,
1040,PS,ps,0,
1095,RAYUNG,rayung,0,
