"model"|"type"|"name"|"Published"|"Fetaured"|"Visibility"|"Short_description"|"Description"|"price"|"image"|"Color"|"Dimension1"|"Dimension2"|"Dimension3"|"dim1"|"dim2"|"dim3"|"Material"|"Categories"|"Tags"
"123-000001"|"simple"|"Παπουτσοθήκη-ντουλάπι SANTE"|1|0|"visible"||"Η παπουτσοθήκη Sante, κατασκευασμένη από μοριοσανίδα με επένδυση LPL, προσφέρει αποθηκευτικό χώρο για 20 ζεύγη παπουτσιών. Εξοπλισμένη με δύο πόρτες MDF και ένα συρτάρι, ιδανική για κάθε σπίτι. Στιβαρή και λειτουργική, ιδανική για την οργάνωση του χώρου σας."|"99.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/123-000001-1.jpg, https://www.pakoworld.com/image/catalog/products/123-000001-2.jpg, https://www.pakoworld.com/image/catalog/products/123-000001-3.jpg, https://www.pakoworld.com/image/catalog/products/123-000001-4.jpg, https://www.pakoworld.com/image/catalog/products/123-000001-5.jpg"|"sonoma"|"80.0"|"37.0"|"123.0"||||"μοριοσανίδα, MDF"|"Υπνοδωμάτιο, Κουζίνα"|"Οργάνωση, Αποθηκευτικός Χώρος, Λειτουργικότητα, Επίπεδη Αποθήκευση, Βιβλική, Διαμέρισμα"
"123-000002"|"simple"|"Παπουτσοθήκη-ντουλάπι SANTE"|1|0|"visible"||"Η παπουτσοθήκη Sante είναι μια λειτουργική και κομψή λύση αποθήκευσης για 20 ζευγάρια παπουτσιών. Κατασκευασμένη από μοριοσανίδα με επένδυση LPL Decor Paper, προσφέρει αντοχή και πρακτικότητα. Διαθέτει δύο πόρτες, 4 ράφια και ένα συρόμενο συρτάρι. Ιδανική για το σπίτι σας, συνδυάζει λειτουργικότητα και σχεδιασμό."|"99.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/123-000002-1.jpg, https://www.pakoworld.com/image/catalog/products/123-000002-2.jpg, https://www.pakoworld.com/image/catalog/products/123-000002-3.jpg, https://www.pakoworld.com/image/catalog/products/123-000002-4.jpg, https://www.pakoworld.com/image/catalog/products/123-000002-5.jpg"|"wenge"|"80.0"|"37.0"|"123.0"||||"μοριοσανίδα"|"Υπνοδωμάτιο, Κουζίνα"|"Οργανωτικός χώρος, Λειτουργικός σχεδιασμός, Αποθηκευτική λύση, Επίπλωση σπιτιού, Εύκολη χρήση, Απαλή αίσθηση"
"123-000003"|"simple"|"Παπουτσοθήκη-ντουλάπι SANTE"|1|0|"visible"||"Η Sante είναι μια παπουτσοθήκη/ντουλάπι από μοριοσανίδα με επένδυση LPL Decor Paper, ιδανική για 30 ζευγάρια παπουτσιών. Διαθέτει τρεις πόρτες και ράφια, καθώς και ένα συρόμενο συρτάρι. Η υψηλής ποιότητας κατασκευή προσφέρει οργανωτική λύση για το σπίτι σας."|"142.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/123-000003-1.jpg, https://www.pakoworld.com/image/catalog/products/123-000003-2.jpg, https://www.pakoworld.com/image/catalog/products/123-000003-3.jpg, https://www.pakoworld.com/image/catalog/products/123-000003-4.jpg"|"sonoma"|"120.0"|"37.0"|"123.0"||||"μοριοσανίδα"|"Κουζίνα, Υπνοδωμάτιο"|"Οργανωτικός χώρος, Αποθήκευση, Επίπλωση σπιτιού, Διάταξη, Αποθηκευτικός χώρος, Οικοσύστημα"
"123-000004"|"simple"|"Παπουτσοθήκη-ντουλάπι SANTE"|1|0|"visible"||"Η Sante Παπουτσοθήκη Wenge: Ένα κομψό ντουλάπι για 30 ζευγάρια παπουτσιών. Κατασκευασμένη από μοριοσανίδα με επένδυση LPL, προσφέρει αντοχή και λειτουργικότητα. Διαθέτει τρεις πόρτες MDF, 4 ράφια και ένα συρόμενο συρτάρι. Ιδανική για οργάνωση του σπιτιού σας."|"142.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/123-000004-1.jpg, https://www.pakoworld.com/image/catalog/products/123-000004-2.jpg, https://www.pakoworld.com/image/catalog/products/123-000004-3.jpg, https://www.pakoworld.com/image/catalog/products/123-000004-4.jpg"|"wenge"|"120.0"|"37.0"|"123.0"||||"μοριοσανίδα, MDF"|"Γραφείο, Κουζίνα"|"Οργάνωση, Αισθητική, Διακόσμηση, Λειτουργικότητα, Αποθηκευτικός Χώρος, Μοντέρνο"
"123-000005"|"simple"|"Παπουτσοθήκη-ντουλάπα SANTE"|1|0|"visible"||"Η παπουτσοθήκη Sante, κατασκευασμένη από μοριοσανίδα και LPL, προσφέρει χωρητικότητα 21 ζευγαριών. Διαθέτει δύο πόρτες από MDF και 6 ρυθμιζόμενα ράφια αποθήκευσης. Ιδανική για οργάνωση και διαχέει μια αισθητική απόχρωση sosoma."|"99.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/123-000005-1.jpg, https://www.pakoworld.com/image/catalog/products/123-000005-2.jpg, https://www.pakoworld.com/image/catalog/products/123-000005-3.jpg, https://www.pakoworld.com/image/catalog/products/123-000005-4.jpg, https://www.pakoworld.com/image/catalog/products/123-000005-5.jpg"|"sonoma"|"60.0"|"37.0"|"183.0"||||"μοριοσανίδα, MDF"|"Υπνοδωμάτιο, Κουζίνα"|"Οργάνωση, Αποθηκευτικός χώρος, Επίπλωση σπιτιού, Μοντέρνο, Λειτουργικότητα, Αισθητική"
"123-000006"|"simple"|"Παπουτσοθήκη-ντουλάπα SANTE"|1|0|"visible"||"Η παπουτσοθήκη Sante, κατασκευασμένη από μοριοσανίδα, MDF και LPL, προσφέρει εξαιρετική ποιότητα και εργονομία για την αποθήκευση 21 ζευγών παπουτσιών. Διαθέτει δύο πόρτες από ενισχυμένο MDF και 6 αφαιρούμενα ράφια αποθήκευσης. Διαστάσεις: 60x37x183 εκ."|"99.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/123-000006-1.jpg, https://www.pakoworld.com/image/catalog/products/123-000006-2.jpg, https://www.pakoworld.com/image/catalog/products/123-000006-3.jpg, https://www.pakoworld.com/image/catalog/products/123-000006-4.jpg, https://www.pakoworld.com/image/catalog/products/123-000006-5.jpg"|"wenge"|"60.0"|"37.0"|"183.0"||||"μοριοσανίδα, MDF"|"Υπνοδωμάτιο, Κουζίνα"|"Οργάνωση, Αποθηκευτικός Χώρος, Εργονομία, Διαμέρισμα, Αποθήκευση, Οικιακό Έπιπλο"
"119-000648"|"simple"|"Τραπέζι σαλονιού PIPRA"|1|0|"visible"||"Το τραπεζάκι σαλονιού PIPRA διαθέτει επιφάνεια από ενισχυμένη μοριοσανίδα με επένδυση μελαμίνης υψηλής ποιότητας, σε λευκό χρώμα. Ιδανικό για σπίτι ή γραφείο, προσφέρει αντοχή και λειτουργικότητα. Διαστάσεις: 110x60x40 εκ.  Μέγιστο βάρος 15kg."|"64.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/119-000648-1.jpg, https://www.pakoworld.com/image/catalog/products/119-000648-2.jpg"|"λευκό"|"110.0"|"60.0"|"40.0"||||"μοριοσανίδα"|"Σαλόνι, Γραφείο"|"Λειτουργικό, Μοντέρνο, Επίπεδο, Σπίτι, Γραφείο, Αξιοπιστία"
"119-000660"|"simple"|"Βιβλιοθήκη MITO"|1|0|"visible"||"Η Βιβλιοθήκη Mito διαθέτει μοντέρνο design και ανθεκτική κατασκευή. Κατασκευασμένη από μοριοσανίδα με μελαμίνη, προσφέρει οριζόντιες και κάθετες ραφιέρες για εντυπωσιακή οργάνωση. Διαθέτει διαστάσεις 108,5x25,5x161 εκ. και είναι ιδανική για σπίτι ή γραφείο."|"105.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/119-000660-1.jpg, https://www.pakoworld.com/image/catalog/products/119-000660-2.jpg"|"φυσικό-ανθρακί"|"5.0"|"25.0"|||||"μοριοσανίδα"|"Γραφείο, Κουζίνα"|"Οργάνωση, Μοντέρνος σχεδιασμός, Λειτουργικότητα, Αισθητική, Σπίτι, Γραφείο"
"119-000667"|"simple"|"Έπιπλο εισόδου-παπουτσοθήκη HOLDON"|1|0|"visible"||"Η παπουτσοθήκη HOLDON είναι μια πρακτική και κομψή λύση για την οργάνωση τουλάχιστον 12 ζευγών παπουτσιών. Κατασκευασμένη από μοριοσανίδα με μελαμίνη, προσφέρει χώρους για ρούχα, διακοσμητικά και ένα αναπαυτικό μαξιλάρι καθίσματος. Διαθέτει δύο κλειστά ντουλάπια και ράφια, ενώ η διάστασή της είναι 120x36.5x87.5 εκ."|"179.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/119-000667-1.jpg, https://www.pakoworld.com/image/catalog/products/119-000667-2.jpg, https://www.pakoworld.com/image/catalog/products/119-000667-3.jpg"|"ανθρακί-φυσικό"|"120.0"|"36.5"|"87.5"||||"μοριοσανίδα"|"Γραφείο, Κουζίνα"|"Οργάνωση, Αποθηκευτικός Χώρος, Σύγχρονο, Λειτουργικό, Διαμέρισμα, Χώρος Καθιστικού"
"006-000012"|"simple"|"Κρεβάτι Nevil"|1|0|"visible"||"Ανανεώστε το ύπνο σας με το κρεβάτι Nevil. Κατασκευασμένο από ενισχυμένο ξύλινο σκελετό και επενδυμένο με τεχνόδερμα PU υψηλής ποιότητας σε λευκό ματ χρώμα. Διαθέτει ανατομικές τάβλες για άνεση και minimal σχεδιασμό, ιδανικό για κάθε χώρο."|"125.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/006-000012-1.jpg, https://www.pakoworld.com/image/catalog/products/006-000012-2.jpg, https://www.pakoworld.com/image/catalog/products/006-000012-3.jpg, https://www.pakoworld.com/image/catalog/products/006-000012-4.jpg, https://www.pakoworld.com/image/catalog/products/006-000012-5.jpg, https://www.pakoworld.com/image/catalog/products/006-000012-6.jpg, https://www.pakoworld.com/image/catalog/products/006-000012-7.jpg"|"λευκό"|"100.0"|"200.0"||||||"Υπνοδωμάτιο Κρεβάτια"|"Ενσωματωμένο, Minimalist, Επίπεδο, Ανατομικό, Σύγχρονο, Χαμηλής Διακόσμησης"
